Data Escala de Tempo 1 DM Simp 4,Data do Incio da Semana Din Instante DM Simp 4,Data Escala de Tempo 1 DM Simp 4,Din Instante,Período Exibido DM Simp 4,Subsistema,Texto Data Incio da Semana Din Instante DM,Selecione Tipo de DM Simp 4
1/1/2000 12:00:00 AM,,1/1/2000 12:00:00 AM,1/1/2000 8:02:00 PM,Dia,Nordeste,,6205
1/2/2000 12:00:00 AM,,1/2/2000 12:00:00 AM,1/2/2000 8:01:00 PM,Dia,Nordeste,,6797
1/3/2000 12:00:00 AM,,1/3/2000 12:00:00 AM,1/3/2000 7:38:00 PM,Dia,Nordeste,,7024
1/4/2000 12:00:00 AM,,1/4/2000 12:00:00 AM,1/4/2000 7:47:00 PM,Dia,Nordeste,,6921
1/5/2000 12:00:00 AM,,1/5/2000 12:00:00 AM,1/5/2000 7:57:00 PM,Dia,Nordeste,,7025
1/6/2000 12:00:00 AM,,1/6/2000 12:00:00 AM,1/6/2000 7:42:00 PM,Dia,Nordeste,,6881
1/7/2000 12:00:00 AM,,1/7/2000 12:00:00 AM,1/7/2000 7:50:00 PM,Dia,Nordeste,,7065
1/8/2000 12:00:00 AM,,1/8/2000 12:00:00 AM,1/8/2000 7:45:00 PM,Dia,Nordeste,,6979
1/9/2000 12:00:00 AM,,1/9/2000 12:00:00 AM,1/9/2000 7:40:00 PM,Dia,Nordeste,,6578
1/10/2000 12:00:00 AM,,1/10/2000 12:00:00 AM,1/10/2000 7:50:00 PM,Dia,Nordeste,,6947
1/11/2000 12:00:00 AM,,1/11/2000 12:00:00 AM,1/11/2000 7:43:00 PM,Dia,Nordeste,,6886
1/12/2000 12:00:00 AM,,1/12/2000 12:00:00 AM,1/12/2000 7:56:00 PM,Dia,Nordeste,,6969
1/13/2000 12:00:00 AM,,1/13/2000 12:00:00 AM,1/13/2000 7:49:00 PM,Dia,Nordeste,,7424
1/14/2000 12:00:00 AM,,1/14/2000 12:00:00 AM,1/14/2000 7:48:00 PM,Dia,Nordeste,,6908
1/15/2000 12:00:00 AM,,1/15/2000 12:00:00 AM,1/15/2000 7:57:00 PM,Dia,Nordeste,,7072
1/16/2000 12:00:00 AM,,1/16/2000 12:00:00 AM,1/16/2000 8:21:00 PM,Dia,Nordeste,,6717
1/17/2000 12:00:00 AM,,1/17/2000 12:00:00 AM,1/17/2000 8:05:00 PM,Dia,Nordeste,,7038
1/18/2000 12:00:00 AM,,1/18/2000 12:00:00 AM,1/18/2000 7:49:00 PM,Dia,Nordeste,,7232
1/19/2000 12:00:00 AM,,1/19/2000 12:00:00 AM,1/19/2000 7:49:00 PM,Dia,Nordeste,,7176
1/20/2000 12:00:00 AM,,1/20/2000 12:00:00 AM,1/20/2000 8:00:00 PM,Dia,Nordeste,,7039
1/21/2000 12:00:00 AM,,1/21/2000 12:00:00 AM,1/21/2000 7:53:00 PM,Dia,Nordeste,,7043
1/22/2000 12:00:00 AM,,1/22/2000 12:00:00 AM,1/22/2000 7:36:00 PM,Dia,Nordeste,,7089
1/23/2000 12:00:00 AM,,1/23/2000 12:00:00 AM,1/23/2000 7:50:00 PM,Dia,Nordeste,,6865
1/24/2000 12:00:00 AM,,1/24/2000 12:00:00 AM,1/24/2000 7:51:00 PM,Dia,Nordeste,,7163
1/25/2000 12:00:00 AM,,1/25/2000 12:00:00 AM,1/25/2000 7:54:00 PM,Dia,Nordeste,,7222
1/26/2000 12:00:00 AM,,1/26/2000 12:00:00 AM,1/26/2000 8:04:00 PM,Dia,Nordeste,,7220
1/27/2000 12:00:00 AM,,1/27/2000 12:00:00 AM,1/27/2000 7:42:00 PM,Dia,Nordeste,,7160
1/28/2000 12:00:00 AM,,1/28/2000 12:00:00 AM,1/28/2000 8:01:00 PM,Dia,Nordeste,,7227
1/29/2000 12:00:00 AM,,1/29/2000 12:00:00 AM,1/29/2000 7:50:00 PM,Dia,Nordeste,,7228
1/30/2000 12:00:00 AM,,1/30/2000 12:00:00 AM,1/30/2000 8:30:00 PM,Dia,Nordeste,,6854
1/31/2000 12:00:00 AM,,1/31/2000 12:00:00 AM,1/31/2000 7:57:00 PM,Dia,Nordeste,,7232
2/1/2000 12:00:00 AM,,2/1/2000 12:00:00 AM,2/1/2000 7:59:00 PM,Dia,Nordeste,,7314
2/2/2000 12:00:00 AM,,2/2/2000 12:00:00 AM,2/2/2000 9:53:00 PM,Dia,Nordeste,,7276
2/3/2000 12:00:00 AM,,2/3/2000 12:00:00 AM,2/3/2000 7:51:00 PM,Dia,Nordeste,,7241
2/4/2000 12:00:00 AM,,2/4/2000 12:00:00 AM,2/4/2000 7:41:00 PM,Dia,Nordeste,,7272
2/5/2000 12:00:00 AM,,2/5/2000 12:00:00 AM,2/5/2000 7:47:00 PM,Dia,Nordeste,,7212
2/6/2000 12:00:00 AM,,2/6/2000 12:00:00 AM,2/6/2000 7:59:00 PM,Dia,Nordeste,,7011
2/7/2000 12:00:00 AM,,2/7/2000 12:00:00 AM,2/7/2000 7:50:00 PM,Dia,Nordeste,,7216
2/8/2000 12:00:00 AM,,2/8/2000 12:00:00 AM,2/8/2000 7:50:00 PM,Dia,Nordeste,,7165
2/9/2000 12:00:00 AM,,2/9/2000 12:00:00 AM,2/9/2000 7:57:00 PM,Dia,Nordeste,,7224
