index,value
2014-12-27,404
2014-12-28,442
2014-12-29,469
2014-12-30,481
2014-12-31,481
2015-01-01,481
2015-01-02,481
2015-01-03,473
2015-01-04,472
2015-01-05,461
2015-01-06,452
2015-01-07,420
2015-01-08,400
2015-01-09,382
2015-01-10,392
2015-01-11,410
2015-01-12,445
2015-01-13,474
2015-01-14,852
2015-01-15,751
2015-01-16,925
2015-01-17,730
2015-01-18,718
2015-01-19,731
2015-01-20,741
2015-01-21,719
2015-01-22,687
2015-01-23,647
2015-01-24,592
2015-01-25,522
2015-01-26,460
2015-01-27,426
2015-01-28,427
2015-01-29,471
2015-01-30,543
2015-01-31,603
2015-02-01,634
2015-02-02,637
2015-02-03,608
2015-02-04,577
2015-02-05,545
2015-02-06,514
2015-02-07,481
2015-02-08,455
2015-02-09,444
2015-02-10,432
2015-02-11,452
2015-02-12,499
2015-02-13,597
2015-02-14,720
2015-02-15,975
2015-02-16,946
2015-02-17,998
2015-02-18,836
2015-02-19,767
2015-02-20,835
2015-02-21,730
2015-02-22,638
2015-02-23,848
2015-02-24,603
2015-02-25,618
2015-02-26,622
2015-02-27,607
2015-02-28,611
2015-03-01,595
2015-03-02,568
2015-03-03,835
2015-03-04,845
2015-03-05,961
2015-03-06,1042
2015-03-07,973
2015-03-08,1065
2015-03-09,963
2015-03-10,962
2015-03-11,1154
2015-03-12,1068
2015-03-13,1159
2015-03-14,1123
2015-03-15,1252
2015-03-16,1247
2015-03-17,1218
2015-03-18,1360
2015-03-19,1535
2015-03-20,1318
2015-03-21,1352
2015-03-22,1177
2015-03-23,1175
2015-03-24,1101
2015-03-25,1100
2015-03-26,1193
2015-03-27,1193
2015-03-28,1148
2015-03-29,968
2015-03-30,918
2015-03-31,934
2015-04-01,791
2015-04-02,723
2015-04-03,675
2015-04-04,642
2015-04-05,582
2015-04-06,546
2015-04-07,521
2015-04-08,527
2015-04-09,538
2015-04-10,543
2015-04-11,560
2015-04-12,560
2015-04-13,583
2015-04-14,612
2015-04-15,640
2015-04-16,644
2015-04-17,612
2015-04-18,565
2015-04-19,519
2015-04-20,479
2015-04-21,456
2015-04-22,460
2015-04-23,486
2015-04-24,503
2015-04-25,516
2015-04-26,508
2015-04-27,503
2015-04-28,474
2015-04-29,456
2015-04-30,445
2015-05-01,434
2015-05-02,422
2015-05-03,409
2015-05-04,409
2015-05-05,401
2015-05-06,391
2015-05-07,375
2015-05-08,381
2015-05-09,391
2015-05-10,394
2015-05-11,393
2015-05-12,375
