index,value
1973-01-01,337
1973-01-02,361
1973-01-03,476
1973-01-04,765
1973-01-05,999
1973-01-06,1006
1973-01-07,1011
1973-01-08,1048
1973-01-09,952
1973-01-10,829
1973-01-11,881
1973-01-12,1056
1973-01-13,1112
1973-01-14,1019
1973-01-15,921
1973-01-16,914
1973-01-17,978
1973-01-18,990
1973-01-19,993
1973-01-20,1029
1973-01-21,1170
1973-01-22,1059
1973-01-23,993
1973-01-24,947
1973-01-25,797
1973-01-26,636
1973-01-27,561
1973-01-28,531
1973-01-29,512
1973-01-30,495
1973-01-31,480
1973-02-01,471
1973-02-02,465
1973-02-03,457
1973-02-04,453
1973-02-05,446
1973-02-06,436
1973-02-07,437
1973-02-08,456
1973-02-09,517
1973-02-10,623
1973-02-11,787
1973-02-12,884
1973-02-13,861
1973-02-14,790
1973-02-15,680
1973-02-16,588
1973-02-17,575
1973-02-18,648
1973-02-19,709
1973-02-20,727
1973-02-21,761
1973-02-22,767
1973-02-23,795
1973-02-24,876
1973-02-25,860
1973-02-26,774
1973-02-27,683
1973-02-28,605
1973-03-01,558
1973-03-02,527
1973-03-03,503
1973-03-04,486
1973-03-05,502
1973-03-06,533
1973-03-07,535
1973-03-08,533
1973-03-09,592
1973-03-10,668
1973-03-11,654
1973-03-12,577
1973-03-13,514
1973-03-14,476
1973-03-15,450
1973-03-16,433
1973-03-17,420
1973-03-18,408
1973-03-19,396
1973-03-20,387
1973-03-21,319
1973-03-22,323
1973-03-23,321
1973-03-24,316
1973-03-25,311
1973-03-26,305
1973-03-27,302
1973-03-28,305
1973-03-29,311
1973-03-30,313
1973-03-31,310
1973-04-01,306
1973-04-02,303
1973-04-03,313
1973-04-04,333
1973-04-05,366
1973-04-06,421
1973-04-07,529
1973-04-08,665
1973-04-09,701
1973-04-10,678
1973-04-11,675
1973-04-12,670
1973-04-13,672
1973-04-14,686
1973-04-15,681
1973-04-16,662
1973-04-17,645
1973-04-18,631
1973-04-19,624
1973-04-20,461
1973-04-21,455
1973-04-22,450
1973-04-23,445
1973-04-24,440
1973-04-25,436
1973-04-26,431
1973-04-27,426
1973-04-28,422
1973-04-29,417
1973-04-30,409
1973-05-01,399
1973-05-02,388
1973-05-03,377
1973-05-04,367
1973-05-05,357
1973-05-06,346
1973-05-07,337
1973-05-08,327
1973-05-09,315
1973-05-10,303
1973-05-11,294
1973-05-12,285
1973-05-13,277
1973-05-14,270
1973-05-15,262
1973-05-16,257
1973-05-17,253
1973-05-18,248
1973-05-19,243
1973-05-20,235
1973-05-21,319
1973-05-22,311
1973-05-23,303
1973-05-24,295
1973-05-25,289
1973-05-26,284
1973-05-27,281
1973-05-28,278
1973-05-29,275
1973-05-30,274
1973-05-31,274
1973-06-01,274
1973-06-02,274
1973-06-03,272
1973-06-04,270
1973-06-05,270
1973-06-06,270
1973-06-07,270
1973-06-08,270
1973-06-09,270
1973-06-10,269
1973-06-11,268
1973-06-12,268
1973-06-13,268
1973-06-14,268
1973-06-15,266
1973-06-16,264
1973-06-17,262
1973-06-18,260
1973-06-19,259
1973-06-20,261
1973-06-21,261
1973-06-22,261
1973-06-23,261
1973-06-24,261
1973-06-25,260
1973-06-26,259
1973-06-27,259
1973-06-28,259
1973-06-29,259
1973-06-30,259
1973-07-01,257
1973-07-02,255
1973-07-03,255
1973-07-04,254
1973-07-05,253
1973-07-06,253
1973-07-07,253
1973-07-08,251
1973-07-09,249
1973-07-10,249
1973-07-11,249
1973-07-12,248
1973-07-13,247
1973-07-14,247
1973-07-15,246
1973-07-16,245
1973-07-17,245
1973-07-18,243
1973-07-19,242
1973-07-20,240
1973-07-21,241
1973-07-22,241
1973-07-23,241
1973-07-24,239
1973-07-25,237
1973-07-26,236
1973-07-27,235
1973-07-28,233
1973-07-29,231
1973-07-30,231
1973-07-31,231
1973-08-01,231
1973-08-02,231
1973-08-03,231
1973-08-04,230
1973-08-05,229
1973-08-06,229
1973-08-07,229
1973-08-08,229
1973-08-09,229
1973-08-10,229
1973-08-11,228
1973-08-12,227
1973-08-13,227
1973-08-14,227
1973-08-15,225
1973-08-16,224
1973-08-17,223
1973-08-18,223
1973-08-19,223
1973-08-20,223
1973-08-21,229
1973-08-22,228
1973-08-23,227
1973-08-24,227
1973-08-25,227
1973-08-26,225
1973-08-27,223
1973-08-28,223
1973-08-29,223
1973-08-30,223
1973-08-31,222
1973-09-01,221
1973-09-02,221
1973-09-03,221
1973-09-04,221
1973-09-05,221
1973-09-06,220
1973-09-07,219
1973-09-08,219
1973-09-09,219
1973-09-10,219
1973-09-11,219
1973-09-12,220
1973-09-13,221
1973-09-14,223
1973-09-15,225
1973-09-16,227
1973-09-17,230
1973-09-18,234
1973-09-19,239
1973-09-20,256
1973-09-21,256
1973-09-22,262
1973-09-23,281
1973-09-24,327
1973-09-25,379
1973-09-26,452
1973-09-27,490
1973-09-28,459
1973-09-29,459
1973-09-30,495
1973-10-01,490
1973-10-02,453
1973-10-03,424
1973-10-04,404
1973-10-05,379
1973-10-06,345
1973-10-07,320
1973-10-08,305
1973-10-09,295
1973-10-10,293
1973-10-11,309
1973-10-12,338
1973-10-13,351
1973-10-14,365
1973-10-15,452
1973-10-16,512
1973-10-17,482
1973-10-18,421
1973-10-19,372
1973-10-20,337
1973-10-21,347
1973-10-22,338
1973-10-23,340
1973-10-24,357
1973-10-25,368
1973-10-26,371
1973-10-27,403
1973-10-28,408
1973-10-29,392
1973-10-30,485
1973-10-31,693
1973-11-01,842
1973-11-02,893
1973-11-03,867
1973-11-04,785
1973-11-05,718
1973-11-06,665
1973-11-07,678
1973-11-08,773
1973-11-09,810
1973-11-10,803
1973-11-11,774
1973-11-12,721
1973-11-13,685
1973-11-14,643
1973-11-15,566
1973-11-16,516
1973-11-17,513
1973-11-18,527
1973-11-19,530
1973-11-20,553
1973-11-21,512
1973-11-22,477
1973-11-23,465
1973-11-24,471
1973-11-25,502
1973-11-26,551
1973-11-27,572
1973-11-28,551
1973-11-29,518
1973-11-30,489
1973-12-01,466
1973-12-02,509
1973-12-03,616
1973-12-04,707
1973-12-05,712
1973-12-06,625
1973-12-07,542
1973-12-08,522
1973-12-09,545
1973-12-10,583
1973-12-11,627
1973-12-12,683
1973-12-13,719
1973-12-14,680
1973-12-15,583
1973-12-16,488
1973-12-17,436
1973-12-18,416
1973-12-19,400
1973-12-20,385
1973-12-21,351
1973-12-22,347
1973-12-23,342
1973-12-24,336
1973-12-25,332
1973-12-26,332
1973-12-27,335
1973-12-28,350
1973-12-29,361
1973-12-30,364
1973-12-31,377
1974-01-01,385
1974-01-02,392
1974-01-03,412
1974-01-04,426
1974-01-05,444
1974-01-06,506
1974-01-07,557
1974-01-08,565
1974-01-09,543
1974-01-10,505
1974-01-11,520
1974-01-12,571
1974-01-13,594
1974-01-14,567
1974-01-15,514
1974-01-16,466
1974-01-17,434
1974-01-18,435
1974-01-19,499
1974-01-20,586
1974-01-21,617
1974-01-22,573
1974-01-23,556
1974-01-24,570
1974-01-25,547
1974-01-26,514
1974-01-27,515
1974-01-28,569
1974-01-29,655
1974-01-30,696
1974-01-31,715
1974-02-01,700
1974-02-02,662
1974-02-03,623
1974-02-04,586
1974-02-05,552
1974-02-06,545
1974-02-07,571
1974-02-08,574
1974-02-09,553
1974-02-10,536
1974-02-11,522
1974-02-12,507
1974-02-13,501
1974-02-14,523
1974-02-15,522
1974-02-16,534
1974-02-17,594
1974-02-18,633
1974-02-19,724
1974-02-20,769
1974-02-21,709
1974-02-22,618
1974-02-23,601
1974-02-24,641
1974-02-25,636
1974-02-26,595
1974-02-27,564
1974-02-28,525
1974-03-01,485
1974-03-02,457
1974-03-03,437
1974-03-04,421
1974-03-05,408
1974-03-06,396
1974-03-07,386
1974-03-08,382
1974-03-09,381
1974-03-10,384
1974-03-11,405
1974-03-12,499
1974-03-13,614
1974-03-14,676
1974-03-15,671
1974-03-16,627
1974-03-17,603
1974-03-18,670
1974-03-19,716
1974-03-20,736
1974-03-21,729
1974-03-22,700
1974-03-23,675
1974-03-24,728
1974-03-25,768
1974-03-26,726
1974-03-27,735
1974-03-28,780
1974-03-29,752
1974-03-30,693
1974-03-31,665
1974-04-01,654
1974-04-02,689
1974-04-03,770
1974-04-04,798
1974-04-05,747
1974-04-06,683
1974-04-07,629
1974-04-08,579
1974-04-09,542
1974-04-10,522
1974-04-11,513
1974-04-12,521
1974-04-13,548
1974-04-14,561
1974-04-15,561
1974-04-16,616
1974-04-17,760
1974-04-18,833
1974-04-19,761
1974-04-20,757
1974-04-21,657
1974-04-22,603
1974-04-23,576
1974-04-24,558
1974-04-25,541
1974-04-26,524
1974-04-27,511
1974-04-28,500
1974-04-29,492
1974-04-30,486
1974-05-01,479
1974-05-02,474
1974-05-03,471
1974-05-04,467
1974-05-05,469
1974-05-06,472
1974-05-07,468
1974-05-08,460
1974-05-09,452
1974-05-10,445
1974-05-11,440
1974-05-12,436
1974-05-13,432
1974-05-14,429
1974-05-15,428
1974-05-16,428
1974-05-17,427
1974-05-18,424
1974-05-19,420
1974-05-20,413
1974-05-21,294
1974-05-22,294
1974-05-23,292
1974-05-24,291
1974-05-25,289
1974-05-26,287
1974-05-27,286
1974-05-28,285
1974-05-29,285
1974-05-30,284
1974-05-31,281
1974-06-01,277
1974-06-02,275
1974-06-03,278
1974-06-04,287
1974-06-05,301
1974-06-06,310
1974-06-07,306
1974-06-08,298
1974-06-09,292
1974-06-10,287
1974-06-11,283
1974-06-12,279
1974-06-13,275
1974-06-14,273
1974-06-15,270
1974-06-16,268
1974-06-17,267
1974-06-18,264
1974-06-19,263
1974-06-20,249
1974-06-21,249
1974-06-22,249
1974-06-23,249
1974-06-24,249
1974-06-25,248
1974-06-26,246
1974-06-27,245
1974-06-28,244
1974-06-29,242
1974-06-30,240
1974-07-01,239
1974-07-02,238
1974-07-03,238
1974-07-04,238
1974-07-05,237
1974-07-06,235
1974-07-07,235
1974-07-08,235
1974-07-09,236
1974-07-10,236
1974-07-11,235
1974-07-12,233
1974-07-13,233
1974-07-14,233
1974-07-15,233
1974-07-16,233
1974-07-17,233
1974-07-18,233
1974-07-19,232
1974-07-20,230
1974-07-21,228
1974-07-22,232
1974-07-23,239
1974-07-24,242
1974-07-25,244
1974-07-26,245
1974-07-27,243
1974-07-28,239
1974-07-29,237
1974-07-30,232
1974-07-31,227
