Din Instante,value,date
2000-01-01 08:02:00,6205.0,2000-01-01 08:02:00
2000-01-02 08:01:00,6797.0,2000-01-02 08:01:00
2000-01-03 07:38:00,7024.0,2000-01-03 07:38:00
2000-01-04 07:47:00,6921.0,2000-01-04 07:47:00
2000-01-05 07:57:00,7025.0,2000-01-05 07:57:00
2000-01-06 07:42:00,6881.0,2000-01-06 07:42:00
2000-01-07 07:50:00,7065.0,2000-01-07 07:50:00
2000-01-08 07:45:00,6979.0,2000-01-08 07:45:00
2000-01-09 07:40:00,6578.0,2000-01-09 07:40:00
2000-01-10 07:50:00,6947.0,2000-01-10 07:50:00
2000-01-11 07:43:00,6886.0,2000-01-11 07:43:00
2000-01-12 07:56:00,6969.0,2000-01-12 07:56:00
2000-01-13 07:49:00,7424.0,2000-01-13 07:49:00
2000-01-14 07:48:00,6908.0,2000-01-14 07:48:00
2000-01-15 07:57:00,7072.0,2000-01-15 07:57:00
2000-01-16 08:21:00,6717.0,2000-01-16 08:21:00
2000-01-17 08:05:00,7038.0,2000-01-17 08:05:00
2000-01-18 07:49:00,7232.0,2000-01-18 07:49:00
2000-01-19 07:49:00,7176.0,2000-01-19 07:49:00
2000-01-20 08:00:00,7039.0,2000-01-20 08:00:00
2000-01-21 07:53:00,7043.0,2000-01-21 07:53:00
2000-01-22 07:36:00,7089.0,2000-01-22 07:36:00
2000-01-23 07:50:00,6865.0,2000-01-23 07:50:00
2000-01-24 07:51:00,7163.0,2000-01-24 07:51:00
2000-01-25 07:54:00,7222.0,2000-01-25 07:54:00
2000-01-26 08:04:00,7220.0,2000-01-26 08:04:00
2000-01-27 07:42:00,7160.0,2000-01-27 07:42:00
2000-01-28 08:01:00,7227.0,2000-01-28 08:01:00
2000-01-29 07:50:00,7228.0,2000-01-29 07:50:00
2000-01-30 08:30:00,6854.0,2000-01-30 08:30:00
2000-01-31 07:57:00,7232.0,2000-01-31 07:57:00
2000-02-01 07:59:00,7314.0,2000-02-01 07:59:00
2000-02-02 09:53:00,7276.0,2000-02-02 09:53:00
2000-02-03 07:51:00,7241.0,2000-02-03 07:51:00
2000-02-04 07:41:00,7272.0,2000-02-04 07:41:00
2000-02-05 07:47:00,7212.0,2000-02-05 07:47:00
2000-02-06 07:59:00,7011.0,2000-02-06 07:59:00
2000-02-07 07:50:00,7216.0,2000-02-07 07:50:00
2000-02-08 07:50:00,7165.0,2000-02-08 07:50:00
2000-02-09 07:57:00,7224.0,2000-02-09 07:57:00
2000-02-10 08:03:00,7160.0,2000-02-10 08:03:00
2000-02-11 07:55:00,7157.0,2000-02-11 07:55:00
2000-02-12 08:08:00,7128.0,2000-02-12 08:08:00
2000-02-13 07:47:00,6789.0,2000-02-13 07:47:00
2000-02-14 07:43:00,6861.0,2000-02-14 07:43:00
2000-02-15 07:04:00,7013.0,2000-02-15 07:04:00
2000-02-16 07:36:00,7003.0,2000-02-16 07:36:00
2000-02-17 07:55:00,7117.0,2000-02-17 07:55:00
2000-02-18 07:40:00,7011.0,2000-02-18 07:40:00
2000-02-19 08:07:00,7037.0,2000-02-19 08:07:00
2000-02-20 07:54:00,6653.0,2000-02-20 07:54:00
2000-02-21 07:30:00,7039.0,2000-02-21 07:30:00
2000-02-22 07:43:00,6857.0,2000-02-22 07:43:00
2000-02-23 07:42:00,6944.0,2000-02-23 07:42:00
2000-02-24 07:39:00,7020.0,2000-02-24 07:39:00
2000-02-25 07:52:00,7042.0,2000-02-25 07:52:00
2000-02-26 07:40:00,7001.0,2000-02-26 07:40:00
2000-02-27 06:30:00,6751.0,2000-02-27 06:30:00
2000-02-28 06:36:00,7358.0,2000-02-28 06:36:00
2000-02-29 06:35:00,7434.0,2000-02-29 06:35:00
2000-03-01 06:42:00,7398.0,2000-03-01 06:42:00
2000-03-02 06:40:00,7392.0,2000-03-02 06:40:00
2000-03-03 06:41:00,7163.0,2000-03-03 06:41:00
2000-03-04 06:31:00,7022.0,2000-03-04 06:31:00
2000-03-05 06:51:00,6695.3,2000-03-05 06:51:00
2000-03-06 06:43:00,6476.6,2000-03-06 06:43:00
2000-03-07 07:06:00,6408.9,2000-03-07 07:06:00
2000-03-08 06:26:00,7133.0,2000-03-08 06:26:00
2000-03-09 06:23:00,7313.0,2000-03-09 06:23:00
2000-03-10 06:29:00,7359.0,2000-03-10 06:29:00
2000-03-11 06:48:00,7327.0,2000-03-11 06:48:00
2000-03-12 07:21:00,7042.0,2000-03-12 07:21:00
2000-03-13 06:28:00,7455.0,2000-03-13 06:28:00
2000-03-14 06:26:00,7467.0,2000-03-14 06:26:00
2000-03-15 06:30:00,7431.0,2000-03-15 06:30:00
2000-03-16 06:33:00,7520.0,2000-03-16 06:33:00
2000-03-17 06:35:00,7490.0,2000-03-17 06:35:00
2000-03-18 06:46:00,7319.0,2000-03-18 06:46:00
2000-03-19 06:40:00,6998.0,2000-03-19 06:40:00
2000-03-20 06:33:00,7480.0,2000-03-20 06:33:00
2000-03-21 06:24:00,7500.0,2000-03-21 06:24:00
2000-03-22 06:30:00,7525.0,2000-03-22 06:30:00
2000-03-23 06:30:00,7372.0,2000-03-23 06:30:00
2000-03-24 06:34:00,7496.0,2000-03-24 06:34:00
2000-03-25 06:37:00,7380.0,2000-03-25 06:37:00
