index,value,date
2014-12-27,404.0,2014-12-27
2014-12-28,442.0,2014-12-28
2014-12-29,469.0,2014-12-29
2014-12-30,481.0,2014-12-30
2014-12-31,481.0,2014-12-31
2015-01-01,481.0,2015-01-01
2015-01-02,481.0,2015-01-02
2015-01-03,473.0,2015-01-03
2015-01-04,472.0,2015-01-04
2015-01-05,461.0,2015-01-05
2015-01-06,452.0,2015-01-06
2015-01-07,420.0,2015-01-07
2015-01-08,400.0,2015-01-08
2015-01-09,382.0,2015-01-09
2015-01-10,392.0,2015-01-10
2015-01-11,410.0,2015-01-11
2015-01-12,445.0,2015-01-12
2015-01-13,474.0,2015-01-13
2015-01-14,852.0,2015-01-14
2015-01-15,751.0,2015-01-15
2015-01-16,925.0,2015-01-16
2015-01-17,730.0,2015-01-17
2015-01-18,718.0,2015-01-18
2015-01-19,731.0,2015-01-19
2015-01-20,741.0,2015-01-20
2015-01-21,719.0,2015-01-21
2015-01-22,687.0,2015-01-22
2015-01-23,647.0,2015-01-23
2015-01-24,592.0,2015-01-24
2015-01-25,522.0,2015-01-25
2015-01-26,460.0,2015-01-26
2015-01-27,426.0,2015-01-27
2015-01-28,427.0,2015-01-28
2015-01-29,471.0,2015-01-29
2015-01-30,543.0,2015-01-30
2015-01-31,603.0,2015-01-31
2015-02-01,634.0,2015-02-01
2015-02-02,637.0,2015-02-02
2015-02-03,608.0,2015-02-03
2015-02-04,577.0,2015-02-04
2015-02-05,545.0,2015-02-05
2015-02-06,514.0,2015-02-06
2015-02-07,481.0,2015-02-07
2015-02-08,455.0,2015-02-08
2015-02-09,444.0,2015-02-09
2015-02-10,432.0,2015-02-10
2015-02-11,452.0,2015-02-11
2015-02-12,499.0,2015-02-12
2015-02-13,597.0,2015-02-13
2015-02-14,720.0,2015-02-14
2015-02-15,975.0,2015-02-15
2015-02-16,946.0,2015-02-16
2015-02-17,998.0,2015-02-17
2015-02-18,836.0,2015-02-18
2015-02-19,767.0,2015-02-19
2015-02-20,835.0,2015-02-20
2015-02-21,730.0,2015-02-21
2015-02-22,638.0,2015-02-22
2015-02-23,848.0,2015-02-23
2015-02-24,603.0,2015-02-24
2015-02-25,618.0,2015-02-25
2015-02-26,622.0,2015-02-26
2015-02-27,607.0,2015-02-27
2015-02-28,611.0,2015-02-28
2015-03-01,595.0,2015-03-01
2015-03-02,568.0,2015-03-02
2015-03-03,835.0,2015-03-03
2015-03-04,845.0,2015-03-04
2015-03-05,961.0,2015-03-05
2015-03-06,1042.0,2015-03-06
2015-03-07,973.0,2015-03-07
2015-03-08,1065.0,2015-03-08
2015-03-09,963.0,2015-03-09
2015-03-10,962.0,2015-03-10
2015-03-11,1154.0,2015-03-11
2015-03-12,1068.0,2015-03-12
2015-03-13,1159.0,2015-03-13
2015-03-14,1123.0,2015-03-14
2015-03-15,1252.0,2015-03-15
2015-03-16,1247.0,2015-03-16
2015-03-17,1218.0,2015-03-17
2015-03-18,1360.0,2015-03-18
2015-03-19,1535.0,2015-03-19
2015-03-20,1318.0,2015-03-20
2015-03-21,1352.0,2015-03-21
2015-03-22,1177.0,2015-03-22
2015-03-23,1175.0,2015-03-23
2015-03-24,1101.0,2015-03-24
2015-03-25,1100.0,2015-03-25
2015-03-26,1193.0,2015-03-26
2015-03-27,1193.0,2015-03-27
2015-03-28,1148.0,2015-03-28
2015-03-29,968.0,2015-03-29
2015-03-30,918.0,2015-03-30
2015-03-31,934.0,2015-03-31
2015-04-01,791.0,2015-04-01
2015-04-02,723.0,2015-04-02
2015-04-03,675.0,2015-04-03
2015-04-04,642.0,2015-04-04
2015-04-05,582.0,2015-04-05
2015-04-06,546.0,2015-04-06
2015-04-07,521.0,2015-04-07
2015-04-08,527.0,2015-04-08
2015-04-09,538.0,2015-04-09
2015-04-10,543.0,2015-04-10
2015-04-11,560.0,2015-04-11
2015-04-12,560.0,2015-04-12
2015-04-13,583.0,2015-04-13
2015-04-14,612.0,2015-04-14
2015-04-15,640.0,2015-04-15
2015-04-16,644.0,2015-04-16
2015-04-17,612.0,2015-04-17
2015-04-18,565.0,2015-04-18
2015-04-19,519.0,2015-04-19
2015-04-20,479.0,2015-04-20
2015-04-21,456.0,2015-04-21
2015-04-22,460.0,2015-04-22
2015-04-23,486.0,2015-04-23
2015-04-24,503.0,2015-04-24
2015-04-25,516.0,2015-04-25
2015-04-26,508.0,2015-04-26
2015-04-27,503.0,2015-04-27
2015-04-28,474.0,2015-04-28
2015-04-29,456.0,2015-04-29
2015-04-30,445.0,2015-04-30
2015-05-01,434.0,2015-05-01
2015-05-02,422.0,2015-05-02
2015-05-03,409.0,2015-05-03
2015-05-04,409.0,2015-05-04
2015-05-05,401.0,2015-05-05
2015-05-06,391.0,2015-05-06
2015-05-07,375.0,2015-05-07
2015-05-08,381.0,2015-05-08
2015-05-09,391.0,2015-05-09
2015-05-10,394.0,2015-05-10
2015-05-11,393.0,2015-05-11
2015-05-12,375.0,2015-05-12
2015-05-13,376.0,2015-05-13
2015-05-14,362.0,2015-05-14
2015-05-15,355.0,2015-05-15
2015-05-16,339.0,2015-05-16
2015-05-17,339.0,2015-05-17
2015-05-18,353.0,2015-05-18
2015-05-19,356.0,2015-05-19
2015-05-20,345.0,2015-05-20
2015-05-21,334.0,2015-05-21
2015-05-22,325.0,2015-05-22
2015-05-23,324.0,2015-05-23
2015-05-24,321.0,2015-05-24
2015-05-25,334.0,2015-05-25
2015-05-26,342.0,2015-05-26
2015-05-27,346.0,2015-05-27
2015-05-28,338.0,2015-05-28
2015-05-29,326.0,2015-05-29
2015-05-30,317.0,2015-05-30
2015-05-31,312.0,2015-05-31
2015-06-01,315.0,2015-06-01
2015-06-02,321.0,2015-06-02
2015-06-03,319.0,2015-06-03
2015-06-04,312.0,2015-06-04
2015-06-05,299.0,2015-06-05
2015-06-06,300.0,2015-06-06
2015-06-07,305.0,2015-06-07
2015-06-08,308.0,2015-06-08
2015-06-09,296.0,2015-06-09
2015-06-10,291.0,2015-06-10
2015-06-11,280.0,2015-06-11
2015-06-12,285.0,2015-06-12
